fulldate,cases,pop
2014-01-01,1118,44529.0
2014-02-01,557,44529.0
2014-03-01,758,44529.0
2014-04-01,250,44529.0
2014-05-01,226,44529.0
2014-06-01,238,44529.0
2014-07-01,89,44529.0
2014-08-01,56,44529.0
2014-09-01,591,44529.0
2014-10-01,508,44529.0
2014-11-01,357,44529.0
2014-12-01,411,44529.0
2015-01-01,967,44529.0
2015-02-01,1533,44529.0
2015-03-01,868,44529.0
2015-04-01,734,44529.0
2015-05-01,864,44529.0
2015-06-01,757,44529.0
2015-07-01,504,44529.0
2015-08-01,333,44529.0
2015-09-01,255,44529.0
2015-10-01,115,44529.0
2015-11-01,121,44529.0
2015-12-01,125,44529.0
2016-01-01,21,44529.0
2016-02-01,26,44529.0
2016-03-01,77,44529.0
2016-04-01,178,44529.0
2016-05-01,164,44529.0
2016-06-01,94,44529.0
2016-07-01,65,44529.0
2016-08-01,50,44529.0
2016-09-01,122,44529.0
2016-10-01,108,44529.0
2016-11-01,88,44529.0
2016-12-01,68,44529.0
2017-01-01,112,44529.0
2017-02-01,184,44529.0
2017-03-01,145,44529.0
2017-04-01,119,44529.0
2017-05-01,112,44529.0
2017-06-01,64,44529.0
2017-07-01,52,44529.0
2017-08-01,85,44529.0
2017-09-01,123,44529.0
2017-10-01,190,44529.0
2017-11-01,27,44529.0
2017-12-01,68,44529.0
2018-01-01,58,44529.0
2018-02-01,40,44529.0
2018-03-01,39,44529.0
